epic,desc,charge,spread
B7SXJL3,,0.40,0.37
B7T3XC1,,0.34,0.43
B7TKRN1,,0.20,0.31
B7TLMS4,,0.20,0.44
B7TLNN6,,0.28,0.44
B7TLRJ0,,0.30,0.29
B7V4593,,0.50,0.21
B7XYN97,,0.64,0.21
B7Z7TB8,,0.65,0.73
B802KR8,,0.35,0.36
B842YH2,,0.35,0.43
B88DGW0,,0.40,0.29
B88DZ56,,0.20,0.29
B894QH7,,0.30,0.10
B89G2C0,,0.50,0.61
B8BJ960,,0.20,0.14
B8BVCK1,,0.55,7.51
B8BZQM3,,0.80,0.60
B8C0D37,,0.60,0.50
B8CJC04,,0.55,0.25
B8DYP76,,0.85,0.36
B8FH960,,0.45,0.43
B8FHGS1,,0.30,0.07
B8FJBB5,,0.25,0.20
B8FMT76,,0.15,0.35
B8GG773,,0.18,0.17
B8J4B50,,0.85,0.52
B8J4B72,,0.85,0.85
B8J4BF0,,0.40,0.29
B8KGV55,,0.40,0.34
B8NBP66,,0.50,0.84
B8NZ739,,0.38,0.44
B8T34W5,,0.45,0.52
B8XDZV7,,0.85,0.47
B8XT9Q8,,0.65,0.25
B8Y8834,,0.12,0.27
B9214K1,,0.20,0.34
B921DR1,,0.09,0.29
B932CY3,,0.45,0.50
B951T81,,0.55,0.36
B96CC17,,0.45,0.51
B98DR24,,0.09,0.14
B9DQ900,,1.25,0.29
B9FH310,,0.29,0.29
B9L5KD9,,0.45,0.21
B9L8M65,,0.19,0.22
B9MRHC2,,0.30,0.53
B9MRJJ3,,0.40,0.28
B9MSLC3,,0.22,0.21
BB978C6,,0.65,1.89
BBQ33B1,,0.30,0.52
BBR6WH8,,0.60,0.44
BCBV5C2,,0.40,0.18
BCBV5D3,,0.09,0.15
BCLWRG3,,0.64,0.14
BCZSZ41,,0.65,1.99
BCZSZ52,,0.30,0.28
BCZSZ63,,0.30,0.33
BCZSZF2,,0.07,0.23
BCZSZH4,,0.07,0.35
BCZSZP2,,0.55,2.38
