epic,sector_desc
B00FV12,Commodity ETI - Energy
B00FV12,Commodity ETI - Gold
B00FV12,Commodity ETI - Industrial Metals
B00FV12,Commodity ETI - Livestock
B00FV12,Commodity ETI - Oil
B00FV12,Commodity ETI - Precious Metals
B00FV12,Commodity ETI - Silver
B00FV12,Commodity ETI - Soft
B00FV12,Equity ETI by Area - Africa & Middle East
B00FV12,Equity ETI by Area - Asia Pacific
B00FV12,Equity ETI by Area - Developed Mkt
B00FV12,Equity ETI by Area - Emerging Market
B00FV12,Equity ETI by Area - Europe
B00FV12,Equity ETI by Area - FTSE 100
B00FV12,Equity ETI by Area - FTSE 250
B00FV12,Equity ETI by Area - Japan
B00FV12,Equity ETI by Area - Latin & South America
B00FV12,Equity ETI by Area - North America
B00FV12,Equity ETI by Area - Other
B00FV12,Equity ETI by Area - Russia
B00FV12,Equity ETI by Area - UK
B00FV12,Equity ETI by Area - World
B00FV12,Equity ETI by Sector - Banks & Financials
B00FV12,Equity ETI by Sector - Basic Materials
B00FV12,Equity ETI by Sector - Consumer goods
B00FV12,Equity ETI by Sector - Energy
B00FV12,Equity ETI by Sector - Health
B00FV12,Equity ETI by Sector - Industrials
B00FV12,Equity ETI by Sector - Large Mid Small and Micro Cap
B00FV12,Equity ETI by Sector - Oil & Gas
B00FV12,Equity ETI by Sector - Property
B00FV12,Equity ETI by Sector - Technology
B00FV12,Equity ETI by Sector - Telecoms
B00FV12,Equity ETI by Sector - Utilities
B00FV12,Equity ETI by Sector - Volatility Index
B01RGN4,Equity ETI by Sector - Large Mid Small and Micro Cap
B01RGP6,Equity ETI by Sector - Large Mid Small and Micro Cap
B01RGS9,Equity ETI by Sector - Large Mid Small and Micro Cap
B02KXH5,Equity ETI by Area - Japan
B02KXK8,Equity ETI by Area - Asia Pacific
B02KXL9,Equity ETI by Area - Europe
B02KXM0,Equity ETI by Area - Europe
B031N66,Equity ETI by Sector - Energy
B031N99,Equity ETI by Sector - Industrials
B031NY4,Equity ETI by Sector - Property
B0357H7,Equity ETI by Area - Asia Pacific
B046RT1,Commodity ETI - Gold
B04K9Y2,Equity ETI by Area - North America
